date,price,bedrooms,bathrooms,sqft_living,floors,waterfront,condition,yr_built,street,city,statezip,country
2014-07-03 00:00:00,600000.0,5.0,2.25,3000,2.0,0,4,1975,17612 NE 30th Pl,Redmond,WA 98052,USA
2014-06-12 00:00:00,370000.0,2.0,1.0,1220,1.0,0,4,1947,13314 NE 104th St,Kirkland,WA 98033,USA
2014-06-06 00:00:00,471000.0,3.0,2.5,2030,2.0,0,3,2001,23 Sunset Ct NW,Issaquah,WA 98027,USA
2014-05-15 00:00:00,240000.0,3.0,2.0,1400,1.0,0,3,1948,1610 N 185th St,Shoreline,WA 98133,USA
2014-05-13 00:00:00,413000.0,4.0,1.0,1410,1.0,0,3,1925,4118 32nd Ave SW,Seattle,WA 98126,USA
2014-06-10 00:00:00,483300.0,4.0,2.0,1210,1.0,0,4,1955,3911 147th Ave SE,Bellevue,WA 98006,USA
2014-06-06 00:00:00,585000.0,4.0,2.5,2430,2.0,0,3,2008,360 SE Bush St,Issaquah,WA 98027,USA
2014-06-09 00:00:00,250000.0,5.0,1.5,2520,1.5,0,4,1928,2134 Montgomery Ave,Enumclaw,WA 98022,USA
2014-06-11 00:00:00,522000.0,3.0,1.75,1730,1.0,0,4,1980,8605 169th Ct NE,Redmond,WA 98052,USA
2014-07-09 00:00:00,232500.0,3.0,1.5,1940,1.0,0,4,1969,450 S 305th St,Federal Way,WA 98003,USA
2014-05-29 00:00:00,329932.0,3.0,1.5,1460,1.0,0,3,1971,11221 Palatine Ave N,Seattle,WA 98133,USA
2014-05-23 00:00:00,535000.0,3.0,2.5,2210,2.0,0,3,1994,10526 157th Ave NE,Redmond,WA 98052,USA
2014-06-27 00:00:00,560000.0,4.0,2.5,2710,2.0,0,3,2003,612 Orcas Ave NE,Renton,WA 98059,USA
2014-05-13 00:00:00,525000.0,5.0,3.0,2450,2.0,0,3,1994,7349 24th Ave NW,Seattle,WA 98117,USA
2014-06-20 00:00:00,970500.0,3.0,2.75,2470,2.0,0,3,1960,4511 87th Ave SE,Mercer Island,WA 98040,USA
2014-06-09 00:00:00,390000.0,4.0,1.75,2700,1.5,0,4,1968,16518-16526 147th Ave SE,Renton,WA 98058,USA
2014-07-08 00:00:00,760005.0,4.0,2.75,3090,2.0,0,3,2010,384 218th Pl SE,Sammamish,WA 98074,USA
2014-06-20 00:00:00,458000.0,3.0,2.5,1870,2.0,0,3,2003,8927 NE 176th St,Bothell,WA 98011,USA
2014-06-19 00:00:00,600000.0,3.0,2.0,2540,1.0,0,3,2007,37124-37118 237th Pl SE,Enumclaw,WA 98022,USA
2014-06-26 00:00:00,330675.0,4.0,3.0,1930,1.0,0,3,2006,26418 NE Anderson St,Duvall,WA 98019,USA
2014-06-12 00:00:00,784000.0,3.0,3.5,3950,1.5,0,3,1989,19851 NE Redmond Rd,Redmond,WA 98053,USA
2014-06-25 00:00:00,770000.0,4.0,2.5,3920,2.0,0,3,1997,23013 SE 44th St,Sammamish,WA 98075,USA
2014-05-19 00:00:00,588000.0,3.0,2.25,2030,1.0,0,4,1977,10510 160th Ave NE,Redmond,WA 98052,USA
2014-06-29 00:00:00,397000.0,3.0,3.5,1360,2.0,0,3,2007,1337 14th Ave S,Seattle,WA 98144,USA
2014-06-02 00:00:00,469000.0,3.0,1.0,950,1.5,0,5,1948,1911 E Columbia St,Seattle,WA 98122,USA
2014-06-11 00:00:00,762400.0,3.0,1.75,2430,1.0,0,3,1949,4854 E Mercer Way,Mercer Island,WA 98040,USA
2014-05-23 00:00:00,80000.0,1.0,0.75,430,1.0,0,2,1912,32215 E Rutherford St,Carnation,WA 98014,USA
2014-07-03 00:00:00,290000.0,3.0,1.0,1440,1.0,0,3,1967,1901 Shattuck Ave S,Renton,WA 98055,USA
2014-05-23 00:00:00,1325000.0,4.0,3.0,3370,1.0,0,3,1988,3524 NW 67th St,Seattle,WA 98117,USA
2014-05-30 00:00:00,790000.0,4.0,2.5,2310,2.0,0,3,2013,144 NW 103rd St,Seattle,WA 98177,USA
2014-05-16 00:00:00,720000.0,2.0,1.0,2020,1.0,0,4,1947,10835 41st Ave SW,Seattle,WA 98146,USA
2014-05-20 00:00:00,620000.0,3.0,2.5,2480,2.0,0,3,2004,8719 228th Way NE,Redmond,WA 98053,USA
2014-06-16 00:00:00,566000.0,4.0,2.25,2170,2.0,0,3,1987,23238 NE 29th Ct,Sammamish,WA 98074,USA
2014-06-10 00:00:00,566000.0,4.0,1.75,2440,1.0,0,3,1954,7328 12th Ave NW,Seattle,WA 98117,USA
2014-05-20 00:00:00,335000.0,3.0,1.0,1060,1.0,0,4,1967,8136 NE 147th Pl,Kenmore,WA 98028,USA
2014-05-13 00:00:00,287600.0,3.0,2.5,1950,2.0,0,3,1990,4222 S 288th Pl,Auburn,WA 98001,USA
2014-06-05 00:00:00,240000.0,3.0,1.0,1150,1.0,0,4,1957,450 NE Birch St,Issaquah,WA 98027,USA
2014-06-26 00:00:00,537000.0,3.0,3.0,2410,2.0,0,3,1942,3715 NE 153rd St,Lake Forest Park,WA 98155,USA
2014-05-14 00:00:00,582500.0,2.0,1.5,1159,1.0,0,3,1948,4254 33rd Ave W,Seattle,WA 98199,USA
2014-06-02 00:00:00,544000.0,3.0,1.5,1790,1.5,0,3,1910,Schmitz Park to Alki Trail,Seattle,WA 98116,USA
2014-07-09 00:00:00,295000.0,2.0,1.0,800,1.0,0,4,1953,108 N 183rd St,Shoreline,WA 98133,USA
2014-05-24 00:00:00,501000.0,2.0,1.0,1010,1.0,0,5,1924,7550 Roosevelt Way NE,Seattle,WA 98115,USA
2014-06-18 00:00:00,485000.0,2.0,2.5,1430,3.0,0,3,2008,303 N 55th St,Seattle,WA 98103,USA
2014-05-18 00:00:00,534640.0,3.0,2.5,2130,1.0,0,4,1994,13440 NE 148th St,Woodinville,WA 98072,USA
2014-05-13 00:00:00,591000.0,3.0,1.75,1680,1.0,0,5,1922,1600-1608 25th Ave,Seattle,WA 98122,USA
2014-05-28 00:00:00,515000.0,4.0,2.5,2680,2.0,0,3,2004,36231 SE Isley St,Snoqualmie,WA 98065,USA
2014-07-10 00:00:00,725000.0,2.0,1.75,1950,1.0,0,5,1919,3609-3615 Whitman Ave N,Seattle,WA 98103,USA
2014-06-17 00:00:00,269500.0,2.0,1.5,1480,1.0,0,4,1978,680 Shelton Ave NE,Renton,WA 98056,USA
2014-06-26 00:00:00,224000.0,3.0,1.75,1500,1.0,0,3,2014,32428-32598 5th Ave,Black Diamond,WA 98010,USA
2014-06-06 00:00:00,525000.0,5.0,2.75,2440,1.0,0,4,1972,12806 NE 141st Ct,Kirkland,WA 98034,USA
2014-06-16 00:00:00,850000.0,4.0,3.5,4140,2.0,0,3,2003,11721 106th Ave NE,Kirkland,WA 98034,USA
2014-05-28 00:00:00,236000.0,4.0,2.25,1830,1.0,0,4,1989,4235 SW 337th Pl,Federal Way,WA 98023,USA
2014-07-07 00:00:00,1275000.0,3.0,2.5,3870,2.0,0,3,1997,17002 SE 14th Ln,Bellevue,WA 98008,USA
2014-05-15 00:00:00,580050.0,3.0,2.5,2360,2.0,0,3,1996,601 NE 76th St,Seattle,WA 98115,USA
2014-05-28 00:00:00,600000.0,3.0,1.75,1580,1.0,0,3,1967,12501 SE 4th Pl,Bellevue,WA 98005,USA
2014-06-23 00:00:00,215000.0,3.0,2.0,1340,1.0,0,3,1931,2730 S 146th St,SeaTac,WA 98168,USA
2014-05-28 00:00:00,420000.0,3.0,1.75,1820,1.0,0,3,1977,4031 W Ames Lake Dr NE,Redmond,WA 98053,USA
2014-06-18 00:00:00,3000000.0,4.0,4.25,4850,2.0,1,5,1989,11031 Champagne Point Rd NE,Kirkland,WA 98034,USA
2014-07-03 00:00:00,810000.0,3.0,1.5,1520,1.0,0,4,1954,9530 NE 5th St,Bellevue,WA 98004,USA
2014-05-27 00:00:00,425000.0,3.0,2.5,1870,2.0,0,3,2003,9032 NE 176th St,Bothell,WA 98011,USA
2014-06-06 00:00:00,1120000.0,5.0,2.75,4400,1.0,0,5,1963,15530-15998 61st Ave NE,Kenmore,WA 98028,USA
2014-05-12 00:00:00,746000.0,3.0,2.5,2620,2.0,0,3,1992,16580 SE 57th Pl,Bellevue,WA 98006,USA
2014-07-09 00:00:00,487000.0,4.0,2.5,2540,2.0,0,3,2005,6732 Mars Ave S,Seattle,WA 98108,USA
2014-06-16 00:00:00,320000.0,3.0,2.25,1200,3.0,0,3,2005,10401 Holman Rd NW,Seattle,WA 98133,USA
2014-07-08 00:00:00,440000.0,3.0,2.0,1860,2.0,0,3,1998,9700 174th Ave SE,Renton,WA 98059,USA
2014-05-30 00:00:00,560000.0,3.0,1.5,2000,1.0,0,3,1953,10605 9th Ave NW,Seattle,WA 98177,USA
2014-07-05 00:00:00,1738000.0,4.0,2.25,2920,2.0,0,4,1937,1987 Shenandoah Dr E,Seattle,WA 98112,USA
2014-06-09 00:00:00,352750.0,2.0,1.75,1060,2.0,0,3,2008,323 25th Ave S,Seattle,WA 98144,USA
2014-07-01 00:00:00,460000.0,3.0,2.5,1450,2.0,0,3,2008,1406B NW 64th St,Seattle,WA 98107,USA
2014-05-20 00:00:00,675000.0,3.0,2.25,1990,2.0,0,4,1987,16822 NE 87th St,Redmond,WA 98052,USA
2014-06-04 00:00:00,500000.0,5.0,3.0,2920,2.0,0,3,2003,18202 Dayton Ave N,Shoreline,WA 98133,USA
2014-07-02 00:00:00,185000.0,5.0,1.0,1590,1.5,0,3,1942,10626 12th Ave SW,Seattle,WA 98146,USA
2014-07-08 00:00:00,383000.0,3.0,2.25,2090,1.0,0,3,1961,608 Riverside Dr SE,North Bend,WA 98045,USA
2014-05-19 00:00:00,307000.0,3.0,1.0,1370,1.0,0,3,1960,4751 Stephens Ave,Carnation,WA 98014,USA
2014-05-20 00:00:00,480000.0,4.0,2.75,2050,1.0,0,4,1986,2612 49th Ave SW,Seattle,WA 98116,USA
2014-05-21 00:00:00,199000.0,4.0,2.0,2030,2.0,0,3,1950,11226 57th Ave S,Seattle,WA 98178,USA
2014-06-19 00:00:00,646000.0,4.0,2.5,2310,2.0,0,3,2008,8903 3rd Ave NW,Seattle,WA 98117,USA
2014-05-29 00:00:00,450000.0,4.0,2.0,2240,1.0,0,5,1956,2503 SW Portland Ct,Seattle,WA 98106,USA
2014-06-26 00:00:00,782900.0,4.0,3.25,3060,2.0,0,3,2014,2354 NW Harmony Way,Issaquah,WA 98027,USA
2014-06-17 00:00:00,1185001.0,3.0,2.75,2500,2.0,0,5,1905,723 16th Ave E,Seattle,WA 98112,USA
2014-06-10 00:00:00,710000.0,3.0,3.5,2440,2.0,0,3,2000,2469 132nd Ave SE,Bellevue,WA 98005,USA
2014-06-12 00:00:00,397990.0,3.0,1.0,1180,1.0,0,4,1948,11739 4th Ave NW,Seattle,WA 98177,USA
2014-06-18 00:00:00,650000.0,3.0,1.5,1320,1.0,0,3,1951,3110 109th Ave SE,Bellevue,WA 98004,USA
2014-05-10 00:00:00,394950.0,3.0,2.5,1350,3.0,0,3,2006,5940 California Ave SW,Seattle,WA 98136,USA
2014-06-26 00:00:00,150000.0,3.0,1.0,1310,1.0,0,3,1962,34025 39th Ave S,Auburn,WA 98001,USA
2014-05-30 00:00:00,465000.0,4.0,2.25,1820,1.0,0,5,1977,15812 182nd Ave NE,Woodinville,WA 98072,USA
2014-06-11 00:00:00,329950.0,3.0,2.5,2456,2.0,0,3,2012,33800-33998 12th Pl SW,Federal Way,WA 98023,USA
2014-06-04 00:00:00,760500.0,3.0,2.0,1990,1.0,0,5,1912,4117 Bagley Ave N,Seattle,WA 98103,USA
2014-05-14 00:00:00,499000.0,3.0,2.0,2090,1.5,0,3,1959,30004 SE Lake Retreat S Dr,Ravensdale,WA 98051,USA
2014-07-08 00:00:00,357562.0,2.0,1.75,1210,2.0,0,3,2014,2520 Mulberry Walk NE,Issaquah,WA 98029,USA
2014-06-20 00:00:00,979000.0,3.0,1.5,1700,1.0,0,4,1954,9000 Lake Washington Blvd NE,Bellevue,WA 98004,USA
2014-06-20 00:00:00,455000.0,3.0,2.25,1470,2.0,0,4,1985,24201-24231 SE 43rd Ct,Issaquah,WA 98029,USA
2014-07-01 00:00:00,712000.0,3.0,2.5,2375,2.0,0,3,2002,6248 189th Pl NE,Redmond,WA 98052,USA
2014-05-14 00:00:00,385000.0,4.0,1.75,1620,1.0,0,4,1947,10037 Interlake Ave N,Seattle,WA 98133,USA
2014-05-27 00:00:00,949880.0,4.0,2.25,2290,2.0,0,3,1978,10413 SE 25th St,Bellevue,WA 98004,USA
2014-06-03 00:00:00,402500.0,3.0,3.25,2780,2.0,0,3,2009,14806 279th Ln NE,Duvall,WA 98019,USA
2014-06-17 00:00:00,866059.0,5.0,3.5,3130,2.0,0,3,2014,15845 SE 44th Ct,Bellevue,WA 98006,USA
2014-07-07 00:00:00,1636000.0,3.0,2.5,3110,2.0,0,4,1946,8240 Fairway Dr NE,Seattle,WA 98115,USA
2014-05-21 00:00:00,520000.0,4.0,2.5,3290,2.0,0,3,1992,8020 NE 153rd Pl,Kenmore,WA 98028,USA
2014-05-12 00:00:00,225000.0,3.0,1.0,990,1.0,0,4,1966,16411 120th Ave SE,Renton,WA 98058,USA
2014-06-10 00:00:00,1230000.0,4.0,2.5,3040,2.0,0,3,2001,7024 SE 20th St,Mercer Island,WA 98040,USA
2014-07-01 00:00:00,1060000.0,4.0,2.5,4570,2.0,0,3,1990,1630 204th Pl NE,Sammamish,WA 98074,USA
2014-06-09 00:00:00,400000.0,4.0,3.5,2370,2.5,0,3,2013,3704 NE 14th St,Renton,WA 98056,USA
2014-06-23 00:00:00,165000.0,3.0,1.0,1200,1.0,0,3,1943,14301 Interurban Ave S,Tukwila,WA 98168,USA
2014-06-20 00:00:00,1135000.0,6.0,4.25,6900,2.0,0,4,2002,16903 246th Ave NE,Woodinville,WA 98077,USA
2014-07-09 00:00:00,550000.0,4.0,1.0,1440,1.5,0,4,1924,3822 42nd Ave SW,Seattle,WA 98116,USA
2014-06-25 00:00:00,276900.0,3.0,1.0,1270,1.0,0,4,1958,1711 Monroe Ave NE,Renton,WA 98056,USA
2014-05-27 00:00:00,540000.0,4.0,4.25,1960,2.0,0,3,1940,2113 41st Ave SW,Seattle,WA 98116,USA
2014-05-23 00:00:00,149000.0,3.0,1.0,1700,1.0,0,3,1955,12701 2nd Ave SW,Seattle,WA 98146,USA
2014-05-15 00:00:00,312000.0,3.0,2.25,1490,2.0,0,3,2009,5021 Delridge Way SW,Seattle,WA 98106,USA
2014-05-20 00:00:00,317061.875,3.0,1.75,1280,1.0,0,4,1969,14201-14211 146th Pl SE,Renton,WA 98059,USA
2014-06-26 00:00:00,471000.0,2.0,1.75,1240,1.0,0,5,1924,6528 37th Ave SW,Seattle,WA 98126,USA
2014-06-20 00:00:00,905000.0,4.0,3.5,2970,2.0,0,3,1997,9400 SE 47th St,Mercer Island,WA 98040,USA
2014-06-19 00:00:00,352450.0,3.0,2.0,1430,1.0,0,5,1945,17510 12th Ave NE,Shoreline,WA 98155,USA
2014-05-21 00:00:00,1506000.0,4.0,3.25,3660,2.5,0,3,1909,1020 15th Ave E,Seattle,WA 98112,USA
2014-05-12 00:00:00,235000.0,1.0,1.0,810,1.0,0,5,1941,9413 34th Ave SW,Seattle,WA 98126,USA
2014-06-23 00:00:00,335000.0,1.0,1.0,720,1.0,0,3,1907,7325 18th Ave NW,Seattle,WA 98117,USA
2014-05-15 00:00:00,803100.0,4.0,2.5,3310,2.0,0,3,2004,19107 NE 64th Way,Redmond,WA 98052,USA
2014-06-06 00:00:00,402000.0,3.0,2.5,2700,1.0,0,4,1959,22728 10th Ave S,Des Moines,WA 98198,USA
2014-06-11 00:00:00,234000.0,3.0,2.0,1640,1.5,0,5,1910,28 M St NE,Auburn,WA 98002,USA
2014-05-15 00:00:00,465000.0,3.0,1.75,1410,1.0,0,3,1924,12215 Dayton Ave N,Seattle,WA 98133,USA
2014-06-25 00:00:00,352000.0,4.0,1.0,1530,1.0,0,3,1925,7940 12th Ave SW,Seattle,WA 98106,USA
2014-05-14 00:00:00,266000.0,3.0,2.5,1780,1.0,0,4,1986,26205 119th Dr SE,Kent,WA 98030,USA
2014-06-28 00:00:00,234000.0,3.0,1.0,1040,1.0,0,3,1983,26720 NE Stewart St,Duvall,WA 98019,USA
2014-05-14 00:00:00,310000.0,3.0,1.0,1050,1.0,0,3,1953,18527 Kenlake Pl NE,Kenmore,WA 98028,USA
2014-07-01 00:00:00,332888.0,2.0,2.5,1050,2.0,0,3,2007,101-115 26th Ave,Seattle,WA 98122,USA
2014-05-14 00:00:00,682000.0,3.0,1.75,1830,1.5,0,5,1903,322 16th Ave,Seattle,WA 98122,USA
2014-05-20 00:00:00,206000.0,4.0,2.0,1700,1.0,0,3,1978,606 5th St SE,Auburn,WA 98002,USA
2014-05-14 00:00:00,498000.0,4.0,2.75,2270,1.0,0,4,1973,12901 NE 136th St,Kirkland,WA 98034,USA
2014-07-09 00:00:00,507000.0,3.0,1.75,2140,1.0,0,5,1950,17295-17403 SE 192nd Dr,Renton,WA 98058,USA
2014-05-12 00:00:00,110000.0,3.0,1.0,1250,1.0,0,5,1945,19693-19799 SE Maple Valley Hwy,Maple Valley,WA 98038,USA
2014-06-05 00:00:00,700000.0,3.0,2.5,2050,2.0,0,3,2011,8708 12th Ave NW,Seattle,WA 98117,USA
2014-07-07 00:00:00,588000.0,3.0,2.0,1860,2.0,0,5,1908,8222 16th Ave NE,Seattle,WA 98115,USA
2014-06-17 00:00:00,430000.0,3.0,2.0,1730,1.0,0,3,1978,975-1005 Greenwood Blvd SW,Issaquah,WA 98027,USA
2014-05-21 00:00:00,619420.0,4.0,2.75,2450,2.0,0,4,1988,8537 135th Ave SE,Newcastle,WA 98059,USA
2014-06-26 00:00:00,772650.0,4.0,2.5,2660,1.0,0,3,1955,12345 SE 23rd Pl,Bellevue,WA 98005,USA
2014-06-13 00:00:00,305000.0,3.0,1.5,1210,1.0,0,4,1983,5445 17th Ave SW,Seattle,WA 98106,USA
2014-05-20 00:00:00,330000.0,3.0,1.0,1180,1.0,0,4,1959,8442-8514 WA-900,Issaquah,WA 98027,USA
2014-07-01 00:00:00,219950.0,3.0,1.5,1620,1.0,0,4,1967,17459 SE 262nd St,Covington,WA 98042,USA
2014-07-02 00:00:00,265000.0,4.0,3.0,1940,1.0,0,4,1948,15022 25th Ave NE,Shoreline,WA 98155,USA
2014-06-29 00:00:00,265000.0,3.0,1.0,1800,1.0,0,5,1957,600 Jefferson Ave NE,Renton,WA 98056,USA
2014-05-21 00:00:00,950000.0,5.0,3.75,5330,2.0,0,3,2006,832 Summerhill Ridge Dr NW,Issaquah,WA 98027,USA
2014-07-09 00:00:00,610000.0,3.0,2.5,2630,2.0,0,3,2001,9954 227th Way NE,Redmond,WA 98053,USA
2014-07-02 00:00:00,600000.0,5.0,2.0,2190,1.0,0,5,1965,14314 NE 72nd St,Redmond,WA 98052,USA
2014-06-27 00:00:00,355000.0,4.0,2.5,1890,2.0,0,3,1996,24920-24925 235th Way SE,Maple Valley,WA 98038,USA
2014-07-09 00:00:00,335500.0,3.0,1.0,1370,2.0,0,3,1930,12008 35th Ave NE,Seattle,WA 98125,USA
2014-06-03 00:00:00,590000.0,4.0,4.25,2360,2.0,0,4,1939,2862 S 354th Ln,Federal Way,WA 98003,USA
2014-05-26 00:00:00,880000.0,3.0,2.0,2130,1.0,0,4,1989,16704 162nd Ave NE,Woodinville,WA 98072,USA
2014-05-15 00:00:00,390000.0,3.0,2.5,2240,2.0,0,3,1996,15839 84th Ave NE,Kenmore,WA 98028,USA
2014-05-21 00:00:00,360000.0,3.0,2.5,1530,3.0,0,3,2009,933 N 97th St,Seattle,WA 98103,USA
2014-05-15 00:00:00,575000.0,4.0,2.5,3020,1.0,0,3,1979,4527-4553 NE 201st Pl,Lake Forest Park,WA 98155,USA
2014-06-17 00:00:00,465000.0,2.0,2.75,1430,2.0,0,3,2006,224 26th Ave E,Seattle,WA 98112,USA
2014-05-12 00:00:00,927000.0,4.0,2.75,3300,2.0,0,3,1953,9155 NE 21st Pl,Clyde Hill,WA 98004,USA
2014-07-07 00:00:00,378000.0,3.0,2.5,1601,3.0,0,3,2007,12341 10th Pl NE,Seattle,WA 98125,USA
2014-06-17 00:00:00,479000.0,2.0,2.25,1230,2.0,0,3,2004,106 24th Ave E,Seattle,WA 98112,USA
2014-06-02 00:00:00,789000.0,3.0,3.0,3740,2.0,0,3,1991,9900 SW Quartermaster Dr,Vashon,WA 98070,USA
2014-06-17 00:00:00,229950.0,3.0,2.0,1410,1.0,0,3,1983,14609 SE 195th Pl,Renton,WA 98058,USA
2014-07-08 00:00:00,362000.0,5.0,3.0,1810,2.0,0,3,1998,4519 33rd Ave S,Seattle,WA 98118,USA
2014-06-09 00:00:00,378500.0,2.0,1.0,730,1.0,0,3,1946,2048 NE 97th St,Seattle,WA 98115,USA
2014-06-09 00:00:00,475000.0,4.0,2.75,1980,1.0,0,5,1952,19523 53rd Ave NE,Lake Forest Park,WA 98155,USA
2014-06-23 00:00:00,459950.0,4.0,2.5,2000,2.0,0,3,2003,8928 NE 176th St,Bothell,WA 98011,USA
2014-07-02 00:00:00,512031.0,3.0,1.75,1540,1.0,0,3,1920,6528 3rd Ave NW,Seattle,WA 98117,USA
2014-06-17 00:00:00,250000.0,2.0,1.5,1088,2.0,0,3,1983,9603 NE 121st Ln,Kirkland,WA 98034,USA
